cluster_id,family_tokens,districts,n_members,n_winners,total_wins,span,members,member_ids
F0886,hizbullah,sukkur,2,0,0,2013-2024,"Hizbullah Jhakro (0W/1C, JI); Hizbullah Jakhro (0W/1C, JI)",P07284|P13948
F0887,afzal,sukkur,2,0,0,2013-2018,"SAOOD AFZAL (0W/1C, IND); Saud Afzal (0W/1C, IND)",P07287|P10973
F0888,islam,mansehra,2,0,0,2013-2018,"Samar Ul Islam (0W/1C, IND); Samar Islam (0W/1C, IND)",P07346|P09506
F0889,razzaque,ghotki|old hyderabad|sukkur,2,0,0,2013-2024,"Abdul Razzaque Mahar (0W/1C, IND); Abdul Razzaque (0W/3C, IND|PMLF)",P07368|P07641
F0890,mashori,larkana,2,0,0,2013-2013,"Imdad Ali Mashori (0W/1C, IND); Mohammad Mohsan Mashori (0W/1C, IND)",P07395|P07407
F0891,abro,kamber shahdadkot|larkana,3,0,0,2013-2018,"Sirajuddin Abro (0W/1C, IND); Saifullah Abro (0W/3C, IND); Rafique Ahmed Abro (0W/1C, IND)",P07397|P07422|P10917
F0892,kumar,jacobabad|karachi south|kashmore,3,0,0,2013-2024,"Raj Kumar (0W/3C, ATP|IND); Sandeep Kumar (0W/1C, IND); Naresh Kumar (0W/2C, IND)",P07513|P10884|P13902
F0893,kalhoro,naushero feroze,2,0,0,2013-2013,"Ali Akbar Kalhoro (0W/1C, ST); Ali Gohar Kalhoro (0W/1C, IND)",P07530|P07547
F0894,abbasi,naushero feroze,2,0,0,2013-2013,"Rafique Ahmed Abbasi (0W/1C, IND); Nazir Ahmed Abbasi (0W/1C, MQM)",P07533|P07538
F0895,bhya,nawabshah,2,0,0,2013-2013,"Abdul Rasheed Bhya (0W/1C, IND); Abdul Majeed Majeed Bhya (0W/1C, IND)",P07556|P07560
F0896,rajput,nawabshah,2,0,0,2013-2013,"Muhammad Ghufran Rajput (0W/1C, APML); Hassan Ali Rajput (0W/1C, IND)",P07571|P07582
F0897,qudratullah,khairpur,2,0,0,2013-2018,"Qudratullah (0W/1C, PRHP); Qudratullah Rajput (0W/1C, JUIS)",P07584|P10981
F0898,zaidi,khairpur,2,0,0,2013-2018,"Syed Asad Abbas Zaidi (0W/1C, PSP); Syed Babar Raza Zaidi (0W/1C, IND)",P07589|P10982
F0899,shar,khairpur,3,0,0,2013-2024,"Wilayat Ali Shar (0W/1C, IND); Asad Ali Shar (0W/1C, IND); Abdul Rehman Shar (0W/1C, IND)",P07609|P07614|P13983
F0900,abbasi,khairpur,2,0,0,2013-2024,"Muhammad Raza Abbasi (0W/1C, IND); Mozzam Ali Khan Abbasi (0W/1C, GDA)",P07618|P13992
F0901,mangnejo,khairpur,2,0,0,2013-2024,"Mir Khan Mangnejo (0W/1C, IND); Yar Muhammad Mangnejo (0W/1C, IND)",P07621|P13993
F0902,narejo,khairpur,2,0,0,2013-2018,"Ghulam Rasool Narejo (0W/1C, IND); Mukhtiar Hussain Narejo (0W/1C, PRHP)",P07628|P10991
F0903,maitlo,khairpur,2,0,0,2013-2018,"Bakhtiar Ahmed Maitlo (0W/1C, Jannat Pakistan Party); Naimatullah Maitlo (0W/1C, IND)",P07630|P10993
F0904,baloch,old hyderabad,2,0,0,2013-2013,"Sardar Atta Muhammad Baloch (0W/1C, IND); Muhammad Saleem Jaskani Baloch (0W/1C, IND)",P07655|P07693
F0905,trand,battagram,2,0,0,2013-2013,"Ataullah Khan Trand (0W/1C, IND); Naeemullah Khan Trand (0W/1C, IND)",P07659|P07668
F0906,baber,battagram,2,0,0,2013-2013,"Musbah Allah Baber (0W/1C, IND); Baber Khan (0W/1C, IND)",P07661|P07664
F0907,paras,badin,2,0,0,2013-2024,"Paras Shah (0W/1C, APML); Paras (0W/1C, MQM)",P07758|P14203
F0908,kumar,old mirpurkhas,2,0,0,2013-2013,"Suresh Kumar (0W/1C, IND); Santosh Kumar J Kalal (0W/1C, IND)",P07774|P07801
F0909,bhurgari,old mirpurkhas,2,0,0,2013-2013,"Noor Ahmed Bhurgari (0W/1C, IND); Qadir Bux Bhurgari (0W/1C, IND)",P07788|P07789
F0910,razzak,tharparkar,2,0,0,2013-2024,"Arbab Togachi Fawad Razzaq (0W/3C, IND); Arbab Faisal Razzak (0W/1C, IND)",P07806|P07811
F0911,buriro,dadu|jamshoro,2,0,0,2013-2024,"Moundar Buriro (0W/1C, IND); Roshan Ali Buriro (0W/3C, IND)",P07829|P14227
F0912,chandio,dadu,2,0,0,2013-2013,"Naseer Ahmed Chandio (0W/1C, Tehreek-e-Tahaffuze Pakistan); Mr Ayoub Chandio (0W/1C, JUIS)",P07831|P07858
F0913,brohi,dadu,2,0,0,2013-2024,"Gul Mohammad Brohi (0W/1C, IND); Abu Bakar Brohi (0W/1C, JUIF)",P07833|P14237
F0914,bukhari,thatta,2,0,0,2013-2024,"Fahmida Shah Bukhari (0W/1C, MQM); Syed Jamil Ahmad Shah Bukhari (0W/1C, IND)",P07904|P14210
F0915,brohi,karachi,3,0,0,2013-2013,"Haji Abdul Nabi Brohi (0W/1C, IND); Muhammad Suleman Brohi (0W/1C, IND); Imran Khan Brohi (0W/1C, IND)",P07920|P07993|P08171
F0916,rehan,di khan,2,0,0,2013-2024,"Waseem Rehan Advocate (0W/1C, IND); Rehan Malik Advocate (0W/2C, IND|PMLN)",P07930|P07932
F0917,diyal,di khan,2,0,0,2013-2013,"Alhaj Khizer Hayat Diyal (0W/1C, IND); Malik Arshad Diyal (0W/1C, IND)",P07931|P07942
F0918,qadri,di khan,2,0,0,2013-2018,"Hameedullah Khan Qadri (0W/1C, IND); Muhammad Fiaz Qadri (0W/1C, PML-H)",P07949|P09690
F0919,afsar,karachi,2,0,0,2013-2013,"Ali Afsar Tanoli (0W/1C, Tehreek-e-Suba Hazara); Syed Afsar (0W/1C, IND)",P07976|P07978
