year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
1985,NA-150,Rahim Yar Khan,Punjab,Makhdumzada Syed Hassan Mehmood,Independent,65268,52.2,,,25.7,10
1985,NA-151,Sukkur,Sindh,Islam uddin Sheikh,Independent,44118,54.1,,,14.3,7
1985,NA-152,Sukkur,Sindh,Sardar Ghulam Muhammad Khan Mehar,Independent,65667,97.7,,,96.7,4
1985,NA-153,Sukkur,Sindh,Sardar Haji Noor Muhammad Khan Lund,Independent,56235,66.8,,,38.3,5
1985,NA-154,Shikarpur,Sindh,Ellahi Bakhsh Soomro,Independent,,,,,,1
1985,NA-155,Shikarpur,Sindh,Agha Atta Muhammad Khan,Independent,50014,81.9,,,63.8,2
1985,NA-156,Jacobabad,Sindh,Mir Mahran Khan Bijarani,Independent,73728,72.5,,,45.3,3
1985,NA-157,Jacobabad,Sindh,Raheem Bukhsh Soomro,Independent,61687,65.7,,,32.6,4
1985,NA-158,Nawabshah,Sindh,Syed Zafar Ali Shah,Independent,57304,51.8,,,5.9,7
1985,NA-159,Nawabshah,Sindh,Dil Murad Jamali,Independent,43051,59.6,,,21.9,6
1985,NA-160,Nawabshah,Sindh,Syed Ali Asghar Shah,Independent,34140,42.3,,,9.8,4
1985,NA-161,Nawabshah,Sindh,Syed Bashir Ahmad   Shah,Independent,,,,,,1
1985,NA-162,Khairpur,Sindh,Syed Ali Gohar Shah,Independent,69766,55.4,,,14.7,4
1985,NA-163,Khairpur,Sindh,Syed Abdul Razaq Shah,Independent,29497,44.6,,,20.1,9
1985,NA-164,Larkana,Sindh,Shah Muhammad Pasha Khuhro,Independent,32179,45.1,,,5.7,4
1985,NA-165,Larkana,Sindh,Sardar Ahmad Sultan Chandio,Independent,,,,,,1
1985,NA-166,Larkana,Sindh,Mir Nadir Ali Khan Magsi,Independent,40557,97.2,,,95.4,3
1985,NA-167,Hyderabad,Sindh,Shahabuddin Shah Hussaini,Independent,19988,61.6,,,28.1,3
1985,NA-168,Hyderabad,Sindh,Wasi Mazhar Nadvi,Independent,23118,34.7,,,3.4,9
1985,NA-169,Hyderabad,Sindh,Nawab Muhammad Yamin Khan,Independent,39168,61.8,,,30.1,6
1985,NA-170,Hyderabad,Sindh,Mir Inayat Ali Talpur,Independent,50219,92.9,,,90.1,5
1985,NA-171,Hyderabad,Sindh,Qazi Abdul Majeed Abid,Independent,34455,49.5,,,19.0,7
1985,NA-172,Badin,Sindh,Haji Abdullah Halepoto,Independent,27318,50.1,,,3.0,6
1985,NA-173,Badin,Sindh,Bashir Ahmad Halepoto,Independent,25305,60.6,,,21.1,2
1985,NA-174,Tharparkar,Sindh,Maj Gen (R) Muhammad Bashir Khan,Independent,48983,52.0,,,6.2,5
1985,NA-175,Tharparkar,Sindh,Khair Muhammad Bhurghari,Independent,51731,73.5,,,50.6,3
1985,NA-176,Tharparkar,Sindh,Arbab Amir Hassan,Independent,52526,58.7,,,17.5,2
1985,NA-177,Dadu,Sindh,Peer Bakhsh Khaskheli,Independent,33232,47.5,,,1.5,6
1985,NA-178,Dadu,Sindh,Haji Khair Muhammad Panhwar,Independent,34153,53.3,,,6.6,2
1985,NA-179,Dadu,Sindh,Abdul Hameed Khan Jatoi,Independent,43974,54.9,,,18.5,5
1985,NA-180,Sanghar,Sindh,Muhammad Khan Junejo,Independent,,,,,,1
1985,NA-181,Sanghar,Sindh,Atta Muhammad Marri,Independent,46859,59.0,,,19.7,4
1985,NA-182,Thatta,Sindh,Haji Muhammad Usman Khan Jalbani,Independent,29866,48.0,,,0.3,3
1985,NA-183,Thatta,Sindh,Ahmad Khan Memon,Independent,33248,55.7,,,11.4,2
1985,NA-184,Karachi,Sindh,Mir Nawaz Khan Marwat,Independent,10820,19.2,,,1.7,8
1985,NA-185,Karachi,Sindh,Shah Baleegh Uddin,Independent,38202,60.4,,,25.6,7
1985,NA-186,Karachi,Sindh,Muzaffar Ahmad Hashmi,Independent,20647,41.9,,,5.3,5
1985,NA-187,Karachi,Sindh,Muhammad Usman Ramz,Independent,23961,35.8,,,6.0,10
1985,NA-188,Karachi,Sindh,Muhammad Afaque Khan,Independent,16679,34.2,,,17.6,14
